MineralName,Mineral,R,G,B,R_value,G_value,B_value
Serpentine,serpentine,153,128,230,0.6,0.501960784,0.901960784
Olivine,olivine,0,255,0,0,1,0
Spinel,oxide1,255,0,0,1,0,0
Hole,hole,0,0,0,0,0,0
Background,background,102,102,102,0.4,0.4,0.4
Epoxy,epoxy,204,255,255,0.8,1,1
Orthopyroxene,opx,255,179,102,1,0.701960784,0.4
Fluidinclusion,fluidInclusion,255,204,230,1,0.8,0.901960784
Clinopyroxene,CPX,255,255,0,1,1,0
slideGlass,glass_polish,27,27,27,0.105882353,0.105882353,0.105882353
Garnet,garnet,255,0,255,1,0,1
Plagioclase,plg,153,179,255,0.6,0.701960784,1
Ti-oxide,Ti-oxide,2,70,171,0.007843137,0.274509804,0.670588235
,sulfide1,161,114,49,0.631372549,0.447058824,0.192156863
,mineral1,238,211,120,0.933333333,0.82745098,0.470588235
,mineral2,153,153,51,0.6,0.6,0.2
,silicate1,159,223,190,0.623529412,0.874509804,0.745098039
Amphibole,amph,0,128,128,0,0.501960784,0.501960784
,clay3-amph,204,153,51,0.8,0.6,0.2
,clay1-plg,79,46,110,0.309803922,0.180392157,0.431372549
,clay2-ol,60,94,214,0.235294118,0.368627451,0.839215686
,margin-artifact,150,150,150,0.588235294,0.588235294,0.588235294
Quartz,quartz,0,255,255,0,1,1
Iddingzite,iddingzite,128,0,0,0.501960784,0,0
Pyrite,pyrite,74,12,205,0.290196078,0.047058824,0.803921569
,patina,0,21,21,0,0.2,0.2
Biotite,biotite,168,94,24,0.658823529,0.368627451,0.094117647
,clay2-amph,124,189,239,0.48627451,0.741176471,0.937254902
,clay1-biotite,42,113,134,0.164705882,0.443137255,0.525490196
,clay3-plg,241,211,198,0.945098039,0.82745098,0.776470588
,clay4-garnet,80,201,219,0.31372549,0.788235294,0.858823529
Chlorite,chlorite,128,179,128,0.501960784,0.701960784,0.501960784
Chalcopyrite,chalcopyrite,238,141,27,0.933333333,0.552941176,0.105882353
,accessory1,0,51,51,0,0.2,0.2
,sulfide2,161,203,10,0.631372549,0.796078431,0.039215686
Orthoclase,orthoclase,232,154,60,0.909803922,0.603921569,0.235294118
Titanite,titanite,117,18,95,0.458823529,0.070588235,0.37254902
,clay-Kfds,149,46,61,0.584313725,0.180392157,0.239215686
Chloritoid,chloritoid,102,128,230,0.4,0.501960784,0.901960784
Muscovite,muscovite,254,130,128,0.996078431,0.509803922,0.501960784
Microcline,microcline,186,139,201,0.729411765,0.545098039,0.788235294
Zircon,zircon,21,104,148,0.082352941,0.407843137,0.580392157
Apatite,apatite,46,77,24,0.180392157,0.301960784,0.094117647
